fixture_id,fecha,torneo,ronda,arbitro,estadio,side,equipo,equipo_id,oponente,goles,goles_rival,goles_ht,resultado,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1491793,2026-01-10,Clausura,Clausura - 1,"Ivan Antonio Lopez Sanchez, Mexico",Estadio de Mazatlan,home,Mazatlán,14002,FC Juarez,1,2,1,L,2,2,4,0,3,1,15,2,2.0,46%,1.0,,1,322,253,79%,,
1491793,2026-01-10,Clausura,Clausura - 1,"Ivan Antonio Lopez Sanchez, Mexico",Estadio de Mazatlan,away,FC Juarez,2298,Mazatlán,2,1,2,W,3,4,8,1,5,3,14,5,0.0,54%,0.0,,1,370,291,79%,,
1491792,2026-01-10,Clausura,Clausura - 1,"Ismael Rosario Lopez Penuelas, Mexico",Estadio Caliente,home,Club Tijuana,2280,Club America,0,0,0,D,2,6,9,1,4,5,10,1,0.0,60%,0.0,,2,619,537,87%,,
1491792,2026-01-10,Clausura,Clausura - 1,"Ismael Rosario Lopez Penuelas, Mexico",Estadio Caliente,away,Club America,2287,Club Tijuana,0,0,0,D,2,2,4,0,2,2,9,3,2.0,40%,2.0,,2,405,326,80%,,
1491791,2026-01-10,Clausura,Clausura - 1,"César Ramos Palazuelos, Mexico",Estadio Jalisco,home,Atlas,2283,Puebla,1,0,1,W,3,4,8,1,5,3,12,1,1.0,41%,3.0,,6,329,273,83%,,
1491791,2026-01-10,Clausura,Clausura - 1,"César Ramos Palazuelos, Mexico",Estadio Jalisco,away,Puebla,2291,Atlas,0,1,0,L,6,6,15,3,9,6,17,4,2.0,59%,2.0,,2,471,399,85%,,
1491794,2026-01-10,Clausura,Clausura - 1,"Marco Antonio Ortiz Nava, Mexico",Estadio Akron,home,Guadalajara Chivas,2278,Pachuca,2,0,2,W,6,10,18,2,12,6,10,5,1.0,58%,0.0,,3,533,453,85%,,
1491794,2026-01-10,Clausura,Clausura - 1,"Marco Antonio Ortiz Nava, Mexico",Estadio Akron,away,Pachuca,2292,Guadalajara Chivas,0,2,0,L,2,5,10,3,5,5,15,2,3.0,42%,2.0,,4,402,321,80%,,
1491796,2026-01-11,Clausura,Clausura - 1,"Luis Alfredo Garcia Rodriguez, Mexico",Estadio Corona,home,Santos Laguna,2285,Necaxa,1,3,1,L,4,5,15,6,11,4,17,7,2.0,55%,2.0,1.0,3,359,275,77%,,
1491796,2026-01-11,Clausura,Clausura - 1,"Luis Alfredo Garcia Rodriguez, Mexico",Estadio Corona,away,Necaxa,2288,Santos Laguna,3,1,2,W,6,4,13,3,8,5,13,3,2.0,45%,1.0,0.0,4,303,245,81%,,
1491795,2026-01-11,Clausura,Clausura - 1,"Victor Alfonso Caceres Hernandez, Mexico",Estadio Leon,home,Leon,2289,Cruz Azul,2,1,1,W,6,1,8,1,6,2,18,3,3.0,45%,3.0,,6,352,274,78%,,
1491795,2026-01-11,Clausura,Clausura - 1,"Victor Alfonso Caceres Hernandez, Mexico",Estadio Leon,away,Cruz Azul,2295,Leon,1,2,0,L,7,6,20,7,14,6,16,6,2.0,55%,1.0,,4,412,319,77%,,
1491797,2026-01-11,Clausura,Clausura - 1,"Luis Santander, Mexico",Estadio BBVA Bancomer,home,Monterrey,2282,Toluca,0,1,0,L,5,6,16,5,10,6,8,2,1.0,64%,0.0,,1,603,521,86%,,
1491797,2026-01-11,Clausura,Clausura - 1,"Luis Santander, Mexico",Estadio BBVA Bancomer,away,Toluca,2281,Monterrey,1,0,0,W,2,6,14,6,6,8,18,4,1.0,36%,5.0,,5,336,258,77%,,
1491798,2026-01-11,Clausura,Clausura - 1,"Maximiliano Quintero Hernandez, Mexico",Estadio Olimpico Universitario,home,U.N.A.M. - Pumas,2286,Club Queretaro,1,1,0,D,4,6,16,6,10,6,14,7,1.0,59%,1.0,,3,482,423,88%,,
1491798,2026-01-11,Clausura,Clausura - 1,"Maximiliano Quintero Hernandez, Mexico",Estadio Olimpico Universitario,away,Club Queretaro,2290,U.N.A.M. - Pumas,1,1,0,D,4,7,15,4,8,7,9,4,0.0,41%,0.0,,3,337,271,80%,,
1491799,2026-01-12,Clausura,Clausura - 1,"Daniel Quintero Huitrón, Mexico",Estadio Alfonso Lastras,home,Atletico San Luis,2314,Tigres UANL,1,2,0,L,1,4,13,8,7,6,6,5,1.0,48%,1.0,,1,439,358,82%,0.87,
1491799,2026-01-12,Clausura,Clausura - 1,"Daniel Quintero Huitrón, Mexico",Estadio Alfonso Lastras,away,Tigres UANL,2279,Atletico San Luis,2,1,0,W,3,3,8,2,6,2,14,3,2.0,52%,2.0,,0,489,410,84%,0.44,
1491802,2026-01-13,Clausura,Clausura - 2,"Joaquin Alberto Vizcarra Armenta, Mexico",Estadio Cuauhtemoc,home,Puebla,2291,Mazatlán,2,1,2,W,7,8,20,5,12,8,21,8,0.0,56%,4.0,,5,381,327,86%,,
1491802,2026-01-13,Clausura,Clausura - 2,"Joaquin Alberto Vizcarra Armenta, Mexico",Estadio Cuauhtemoc,away,Mazatlán,14002,Puebla,1,2,0,L,6,1,8,1,5,3,13,6,2.0,44%,1.0,,5,297,232,78%,,
1491800,2026-01-14,Clausura,Clausura - 2,"Fernando Hernandez, Mexico",Estadio Victoria,home,Necaxa,2288,Monterrey,0,2,0,L,4,11,17,2,14,3,15,10,1.0,51%,,,2,415,354,85%,,
1491800,2026-01-14,Clausura,Clausura - 2,"Fernando Hernandez, Mexico",Estadio Victoria,away,Monterrey,2282,Necaxa,2,0,2,W,4,8,15,3,6,9,13,4,0.0,49%,,,4,418,353,84%,,
1491801,2026-01-14,Clausura,Clausura - 2,"Guillermo Pacheco Larios, Mexico",Estadio Miguel Hidalgo,home,Pachuca,2292,Leon,2,1,1,W,8,4,14,2,2,12,12,4,1.0,47%,1.0,,1,422,353,84%,,
1491801,2026-01-14,Clausura,Clausura - 2,"Guillermo Pacheco Larios, Mexico",Estadio Miguel Hidalgo,away,Leon,2289,Pachuca,1,2,0,L,2,6,13,5,8,5,10,6,1.0,53%,0.0,,6,466,400,86%,,
1491804,2026-01-14,Clausura,Clausura - 2,"Adonai Escobedo Gonzalez, Mexico",Estadio Olimpico Benito Juarez,home,FC Juarez,2298,Guadalajara Chivas,0,1,0,L,3,4,7,0,5,2,10,1,0.0,51%,2.0,,5,472,389,82%,,
1491804,2026-01-14,Clausura,Clausura - 2,"Adonai Escobedo Gonzalez, Mexico",Estadio Olimpico Benito Juarez,away,Guadalajara Chivas,2278,FC Juarez,1,0,0,W,6,6,14,2,7,7,9,4,3.0,49%,2.0,,3,448,371,83%,,
1491803,2026-01-14,Clausura,Clausura - 2,"Yonatan Peinado Aguirre, Mexico",Estadio Azteca,home,Cruz Azul,2295,Atlas,2,0,2,W,6,9,17,2,10,7,14,6,1.0,48%,2.0,,2,406,342,84%,,
1491803,2026-01-14,Clausura,Clausura - 2,"Yonatan Peinado Aguirre, Mexico",Estadio Azteca,away,Atlas,2283,Cruz Azul,0,2,0,L,2,2,6,2,4,2,14,3,2.0,52%,3.0,,4,440,366,83%,,
1491806,2026-01-15,Clausura,Clausura - 2,"Karen Hernandez Andrade, Mexico",Estadio La Corregidora,home,Club Queretaro,2290,Club Tijuana,1,2,0,L,5,5,11,1,7,4,11,6,1.0,51%,3.0,,1,372,302,81%,2.24,
1491806,2026-01-15,Clausura,Clausura - 2,"Karen Hernandez Andrade, Mexico",Estadio La Corregidora,away,Club Tijuana,2280,Club Queretaro,2,1,0,W,4,3,10,3,5,5,14,6,0.0,49%,2.0,,3,364,305,84%,0.85,
1491805,2026-01-15,Clausura,Clausura - 2,"Vicente Jassiel Reynoso Arce, Mexico",Estadio Ciudad de los Deportes,home,Club America,2287,Atletico San Luis,0,2,0,L,1,4,9,4,2,7,14,1,,46%,1.0,1.0,3,433,371,86%,0.52,
1491805,2026-01-15,Clausura,Clausura - 2,"Vicente Jassiel Reynoso Arce, Mexico",Estadio Ciudad de los Deportes,away,Atletico San Luis,2314,Club America,2,0,0,W,7,5,16,4,10,6,9,8,,54%,0.0,0.0,1,491,428,87%,1.44,
1491807,2026-01-15,Clausura,Clausura - 2,"Jesus Rafael Lopez Valle, Mexico",Estadio Universitario,home,Tigres UANL,2279,U.N.A.M. - Pumas,0,1,0,L,7,11,32,14,24,8,10,18,2.0,68%,3.0,0.0,3,573,509,89%,2.88,
1491807,2026-01-15,Clausura,Clausura - 2,"Jesus Rafael Lopez Valle, Mexico",Estadio Universitario,away,U.N.A.M. - Pumas,2286,Tigres UANL,1,0,1,W,4,1,6,1,4,2,19,2,2.0,32%,6.0,1.0,6,282,201,71%,0.91,
1491808,2026-01-15,Clausura,Clausura - 2,"Martin Molina Astorga, Mexico",Estadio Nemesio Diez,home,Toluca,2281,Santos Laguna,3,1,0,W,9,9,22,4,10,12,14,5,2.0,73%,2.0,,1,667,599,90%,2.46,
1491808,2026-01-15,Clausura,Clausura - 2,"Martin Molina Astorga, Mexico",Estadio Nemesio Diez,away,Santos Laguna,2285,Toluca,1,3,1,L,2,1,3,0,3,0,10,1,1.0,27%,6.0,,7,237,185,78%,0.18,
1491809,2026-01-17,Clausura,Clausura - 3,"Ismael Rosario Lopez Penuelas, Mexico",Estadio El Encanto,home,Mazatlán,14002,Monterrey,1,5,0,L,4,5,9,0,5,4,13,4,0.0,34%,3.0,,6,289,231,80%,,
1491809,2026-01-17,Clausura,Clausura - 3,"Ismael Rosario Lopez Penuelas, Mexico",Estadio El Encanto,away,Monterrey,2282,Mazatlán,5,1,3,W,11,2,18,5,13,5,8,7,2.0,66%,1.0,,3,570,502,88%,,
