fixture_id,fecha,torneo,ronda,equipo,equipo_id,jugador_id,jugador,minutos,numero,posicion,rating,capitan,titular,tiros_total,tiros_a_gol,goles,goles_recibidos,asistencias,atajadas,pases_total,pases_clave,pases_precision,tackles,bloqueos,intercepciones,duelos_total,duelos_ganados,regates_intentos,regates_exitosos,regateado,faltas_recibidas,faltas_cometidas,amarillas,rojas,penal_ganado,penal_cometido,penal_anotado,penal_fallado,penal_atajado,fuera_de_juego
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,282709,Ricardo Rodríguez,90.0,33,G,6,False,True,,,,2,0.0,1.0,30.0,,20,,,,1.0,1.0,,,,1.0,,0,0,,,0,0,0.0,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,524491,Ivan Gonzalez,90.0,199,D,5.9,False,True,,,,0,1.0,,18.0,1.0,16,,,,6.0,,,,,,3.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,6494,Facundo Almada,90.0,5,D,6.9,False,True,1.0,1.0,1.0,0,0.0,,59.0,,41,,,,9.0,4.0,2.0,,,1.0,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,35511,Jair Díaz,90.0,4,D,7.2,False,True,,,,0,0.0,,49.0,,40,2.0,1.0,1.0,7.0,5.0,,,,1.0,1.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,35813,Mauro Laínez,39.0,20,D,6.3,False,True,,,,0,0.0,,7.0,,7,1.0,,,2.0,1.0,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,46855,Yoel Bárcenas,90.0,11,M,6.2,False,True,,,,0,0.0,,33.0,,26,,,,9.0,4.0,1.0,,,3.0,1.0,1,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,2579,Jefferson Intriago,45.0,35,M,6.7,False,True,,,,0,0.0,,17.0,,15,,,1.0,2.0,1.0,,,1.0,1.0,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,35972,Jordan Sierra,86.0,23,M,6.2,True,True,1.0,,,0,0.0,,23.0,,15,,,,6.0,1.0,,,,1.0,2.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,403700,Omar Moreno,87.0,10,M,6.6,False,True,1.0,1.0,,0,0.0,,8.0,,7,1.0,,1.0,4.0,2.0,1.0,,,1.0,1.0,0,0,,,0,0,,1.0
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,9401,Fábio Gomes,90.0,90,F,6.3,False,True,,,,0,0.0,,11.0,1.0,6,1.0,,,13.0,5.0,2.0,1.0,,1.0,2.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,341971,Jesús Hernández,90.0,28,F,6.7,False,True,1.0,,,0,0.0,,28.0,,23,2.0,,,15.0,7.0,5.0,2.0,,2.0,2.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,350630,Mauro Zaleta,51.0,14,M,6.3,False,False,,,,0,0.0,,18.0,,18,,,2.0,5.0,,1.0,,1.0,,2.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,511266,Christopher Castro,9.0,32,D,6.5,False,False,,,,0,0.0,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,129976,Dudu,36.0,7,F,6.5,False,False,,,,0,0.0,,6.0,,6,,,,7.0,2.0,1.0,,,2.0,,0,0,,,0,0,,1.0
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,372171,Gabriel Lopez,10.0,193,F,6.3,False,False,,,,0,0.0,,10.0,,9,,,1.0,1.0,,,,,,1.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,391905,Angel Saavedra,9.0,31,M,6.7,False,False,,,,0,0.0,,5.0,,4,,,,1.0,1.0,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,275089,André Alcaraz,,13,G,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,587062,Brian Aguas,,187,D,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,6173,Lucas Merolla,,19,D,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,632111,Jaime Estrada,,235,F,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,Mazatlán,14002,632112,Jesús Inzunza,,254,M,,False,False,,,,0,,,,,,,,,,,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,35995,Sebastián Jurado,90.0,1,G,7,True,True,,,,1,0.0,1.0,30.0,,24,1.0,,,2.0,2.0,,,,,,0,0,,,0,0,0.0,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,36478,Francisco Nevarez,90.0,33,D,8,False,True,1.0,1.0,1.0,0,0.0,,34.0,,25,6.0,,3.0,12.0,8.0,,,2.0,1.0,1.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,13501,Jesús Murillo,90.0,2,D,6.9,False,True,1.0,,,0,0.0,,43.0,,38,,,,4.0,1.0,,,,,2.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,279201,Moises Mosquera,90.0,3,D,6.6,False,True,,,,0,0.0,,41.0,,35,2.0,,1.0,10.0,6.0,,,1.0,1.0,1.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,474373,Eder Lopez,90.0,237,D,6.3,False,True,1.0,,,0,0.0,,45.0,,36,3.0,,2.0,9.0,4.0,1.0,,,1.0,3.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,359835,Denzell Garcia,90.0,5,M,7.9,False,True,3.0,2.0,1.0,0,0.0,,39.0,2.0,30,2.0,,1.0,6.0,5.0,,,,2.0,1.0,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,13584,Homer Martinez,75.0,18,M,6.7,False,True,,,,0,0.0,,25.0,1.0,20,1.0,,,1.0,1.0,,,,,,0,0,,,0,0,,
1491793,2026-01-10,Clausura,Clausura - 1,FC Juarez,2298,106418,Madson de Souza Silva,84.0,9,M,6.9,False,True,,,,0,1.0,,29.0,2.0,21,,,2.0,13.0,7.0,4.0,2.0,,5.0,3.0,0,0,,,0,0,,
